,Varroc Engineering Ltd Unit II,VEPL II,January,,,160,173959
,Varroc Engineering Pvt Ltd,VEPL_V,January,,,155,158470
,Varroc Engineering Pvt Ltd IV,VEPL IV,January,,,115,144652
,Varroc Engineering Pvt Ltd -VI,VEPL VI,January,,,65,55238
,Varroc Engineering Pvt Ltd VII (Forging),Varroc Forging VII,January,,,22,21872
,Varroc Engineering Pvt Ltd VII (Val),Varroc Val VII,January,,,125,116105
,Varroc Engineering Pvt. Ltd Chennai,Varroc Chennai,January,,,12,14594
,Varroc Polymers Pvt Ltd - II,VPPL II,January,,,130,115971
,Varroc Polymers Pvt Ltd - Plant I,VPPL I,January,,,95,97347
,Varroc Polymers Pvt Ltd (CK),Varroc Chakan,January,,,7,6623
,Varsa Plastic Industries Pvt Ltd,Varsa Plastic,January,,,80,127629
,Varsa Plastic Industries Pvt Ltd Unit - II,Varsa Plastic Unit 2,January,,,45,98492
,Varsa Plastic Industries Pvt Ltd Unit - VI,Varsa Plastic Unit 6,January,,,1,2261
,Visteon Electronics India Pvt Ltd,Visteon,January,,,203,141435
,WALVOIL FLUID POWER INDIA PVT.LTD,Walvoil,January,,,63,146758
,WEIR MINERALS (INDIA) PRIVATE LIMITED,Weir Mineral,January,,,24,27751
,Western Heat And Forge Pvt Ltd,Western Heat Bhosari,January,,,9,10317
,Wheels India Ltd,Wheels India,January,,,10,7709
,Wipro Kawasaki Precision Machinery Private Limited (WiproKPM),Wipro,January,,,60,130995
,Yagachi Technologies Pvt Ltd,Yagachi,January,,,88,168415
,Yash Precision Plastics Private Limited,Yash Precision,January,,,6,8613
,Yuken India Limited,Yuken Malur,January,,,42,129384
,Yuken India Limited,Yuken Peenya,January,,,0,0
,Zamil Steel Buildings India Pvt Ltd,Zamil Steel,January,,,25,59823
