Company_ID,Name_of_Company,Unit,IPP
Bharat Forge Baramati,Bharat Forge Limited,2003,1055.0
Bharat Forge Baramati,Bharat Forge Limited,2003,1055.0
Bharat Forge Baramati,Bharat Forge Limited,2003,1055.0
Bharat Forge Baramati,Bharat Forge Limited,2003,1055.0
BFL EL,BHARAT FORGE LTD,444,354.0
BFL Pune NEEM,BHARAT FORGE LTD,8294,6520.0
BFL EL,BHARAT FORGE LTD,444,354.0
BFL Pune NEEM,BHARAT FORGE LTD.,8294,6520.0
Bhavani,Bhavani Industries,71,14.0
Bilz Tool,Bilz Tool Private Limited,269,94.0
Bosch Banglore,Bosch Automotive Electron,4303,1001.0
Bosch Pune,Bosch Chassis System Indi,30,4.0
Bosch Adugudi & Bidadi,Bosch Limited,7791,910.0
Brainbees,Brainbees Solutions Pvt L,682,362.0
Brakes,Brakes India Pvt Ltd,1633,850.0
Britannia,Britannia Industries Limi,224,49.0
Cargill.,Cargill India Pvt Ltd,204,74.0
Carlberg,Carlsberg India Pvt. Ltd.,292,70.0
Carraro,CARRARO INDIA PVT LTD,432,147.0
Cataler India,Cataler India Auto Parts ,177,42.0
Ceratizit,Ceratizit Bengaluru Priva,477,112.0
Clover,Clover Forging & Machinin,85,47.0
Clover NEEM,Clover Forging & Machinin,1782,929.0
Cogeme,Cogeme Precision Parts (I,5211,1827.0
Connectwell,Connectwell Industries Pv,2095,1102.0
Cooper Satara,Cooper Corporation Pvt Lt,2834,987.0
Cooper Satara M61,Cooper Corporation Pvt Lt,1,0.0
Cooper Satara K11,Cooper Corporation Pvt Lt,0,0.0
Cooper Satara K10,Cooper Corporation Pvt Lt,0,0.0
Cooper Satara L 3,Cooper Corporation Pvt Lt,0,0.0
Cooper Satara E 1,Cooper Corporation Pvt Lt,0,0.0
Cooper Satara ZSE,Cooper Corporation Pvt Lt,0,0.0
Cooper Satara J 2,Cooper Corporation Pvt Lt,0,0.0
Cooper Satara M60,Cooper Corporation Pvt Lt,0,0.0
Cooper,Cooper Standard Automotiv,361,425.0
Cummins IPDC,Cummins India Limited ,1642,385.0
Cummins PGBU,Cummins India Limited -SE,508,119.0
Cummins PHP,Cummins technologies Ind ,1141,266.0
Cummins Recon,Cummins Technologies Indi,214,49.0
Cummins HHP,Cummnins HHP,282,63.0
Datacorp Madurai,Datacorp Traffic Private ,1616,189.0
Datacorp Banglore,DataCorp Traffic Private ,3162,735.0
Datacorp Dharmapuri,DataCorp Traffic Private ,4324,1008.0
Datacorp Gurgaon,DATACORP TRAFFIC PRIVATE ,1748,406.0
Delfingen,Delfingen India Pvt Ltd,972,336.0
Digital Age,Digital Age Retail Pvt Lt,71,32.0
DRI India,DRI India Relays Private ,466,112.0
Duroshox,Duroshox Pvt Ltd,42,35.0
Durovalves,Durovalves India Pvt Ltd,3917,2063.0
Dynamatic Aerospace,Dynamatic Technologies Li,2424,850.0
Emerson,Emerson Process Managemen,1653,1299.0
Encube,Encube Ethicals Pvt Ltd,252,84.0
Eximius Infratech,Eximius Infra Tech Soluti,367,189.0
Fairfield,Fairfield Atlas Limited,2902,2292.0
Fairfield,Fairfield Atlas Limited,2902,2292.0
Fenace Auto,Fenace Auto Limited,422,496.0
Fleetguard,Fleetguard Filters Privat,2092,490.0
Fristam Pumps,FRISTAM PUMPS (I) PVT. LT,117,63.0
Gabriel EL,Gabriel India Limited,50,47.0
Gabriel NEEM Main Plant,Gabriel India Limited -,588,315.0
Gabriel NEEM,Gabriel India Limited.,926,488.0
Garware Wai,Garware Technical Fibres ,1834,2162.0
Gestamp,Gestamp automotive India ,582,449.0
Grupo,Grupo Antolin India Priva,489,378.0
Hager Plant 2,Hager Electro Private Lim,3968,1386.0
Haier,Haier Appliance India Pvt,2260,1181.0
Harman,Harman International Indi,2709,945.0
Harman NEEM,Harman International Indi,2921,1018.0
Herman Miller,Herman Miller Furniture (,469,112.0
Hical EC3,Hical Technologies Pvt. L,304,105.0
Hical E1,Hical Technologies Pvt. L,5351,1869.0
Hyundai EL,Hyundai Construction Equi,113,94.0
Hyundai Steel,HYUNDAI STEEL PIPE INDIA ,4830,564.0
IFB,IFB Industrial Ltd,5661,1323.0
Impress,IMPRESS CONTAINERS COMPAN,363,189.0
India Kawasaki,India Kawasaki Motors Pvt,262,213.0
Indiana,Indiana Gratings Pvt Ltd,2286,798.0
Indo SEZ,Indo Schottle Auto Parts ,4399,1544.0
Indo Honga,Indo Schottle Auto Parts ,0,0.0
Indo Honga,Indo Schottle Auto Parts ,0,0.0
Interflex,Interflex Electronics Ind,664,154.0
ITC,ITC Food Limited,1642,578.0
ITC Uluberia,ITC FOOD PVT LTD .,1044,551.0
ITC Kolkata,ITC Limited,520,268.0
Jabil,Jabil Circuit India Pvt L,9535,2226.0
Jabil,Jabil Circuit India Pvt L,9535,2226.0
Jayshree Eletrodevices,Jayashree Electro Devices,266,213.0
Jayshree Encoders,Jayashree Encoders Pvt Lt,440,354.0
Jayshree Electron,Jayshree Electron Pvt Ltd,951,756.0
JK Precision,JK Precision And Tools,312,70.0
Kemwell,Kemwell Biopharm Pvt Ltd,343,77.0
Kern Lieber,Kern-Liebers( India) Pvt ,2657,1402.0
Kingfa Chakan,Kingfa Science & Technolo,942,488.0
Kingfa,Kingfa Science & Technolo,503,268.0
KFIL NEEM,Kirloskar Ferrous Industr,4105,2158.0
