Norma Group Products India Pvt Ltd,Norma,NEEM,SRP,1.5,1.5,1,1,1
Ohsung Electronics India Pvt Ltd,Ohsung,NEEM,SRP,1.5,1.5,1,1,1
Ohsung Electronics India Pvt Ltd,Ohsung,NEEM,SRP,1.5,1.5,1,1,1
Otto Bilz India Pvt Ltd,Otto Bilz,NEEM,Franchisee,1.5,1,1,1,1
Owari Precision Products (India) Pvt Ltd,Owari,NEEM,Franchisee,1,1,1,1,1
Paras Power Engineering Pvt Ltd,Paras,NEEM,SRP,1.5,1.5,1,1.5,1.5
Pentair Valves And Control India Private Limited,Pentair,EL,SRP,1,1.5,1.5,1.5,1
Persistent System Ltd,Persistent,NEEM,OP,1,1,1,1,1
Piaggio Vehicles Private Limited.,P3W Vehicle,EL,SRP,1,1,1,1.5,1
Piaggio Vehicles Pvt Ltd,P3W Vehicle,EL,SRP,1,1,1,1.5,1
Piaggio Vehicles Pvt Ltd,P2W,EL,SRP,1.5,1,1,1,1.5
Plansee India High Performance Materials Private Ltd,Plansee,NEEM,Franchisee,1,1,1,1,1
POSCO Maharashtra Steel Pvt. Ltd,Posco,NEEM,SRP,1,1.5,1,1,1
PPG ASIAN PAINTS PRIVATE LIMITED,PPG,NEEM,SRP,1,1.5,1,1,1
Precision Plastic Engineering Pvt Ltd,Precision Plastic,NEEM,SRP,1.5,1.5,1,1,1
Premium Transmission Limited,Premium,NEEM,SRP,1.5,1.5,1,1,1.5
R.STAHL PRIVATE LIMITED,Rsthal,NEEM,SRP,1,1.5,1,1,1.5
Rajiv Plastics Pvt Ltd,Rajiv Plastic,NEEM,SRP,1,1.5,1,1,1.5
Rao Nursing Home,Rao Nursing,NEEM,op,1.5,1,1,1,1
Recipharm Pharmaservices Pvt Ltd,Recipharma,NEEM,Franchisee,1.5,1,1,1,1
Remsons Industries Ltd,Remsons Gurgaon,NEEM,SRP,1.5,1.5,1,1.5,1.5
Remsons Industries Ltd.,Remsons Daman,NEEM,SRP,1.5,1.5,1,1.5,1.5
Remsons Industries Ltd.,Remsons A-23,NEEM,SRP,1.5,1.5,1,1.5,1.5
RENATA PRECISION COMPONENTS PVT LTD,Renata Karandi,NEEM,SRP,1,1.5,1,1,1
RENATA PRECISION COMPONENTS PVT LTD.,Renata Bhosari,NEEM,SRP,1,1.5,1,1,1
